zip,primary_city,state,county,area_codes
42045,Grand Rivers,KY,Livingston County,270
42047,Hampton,KY,Livingston County,270
42048,Hardin,KY,Marshall County,270
42049,Hazel,KY,Calloway County,270
42050,Hickman,KY,Fulton County,270
42051,Hickory,KY,Graves County,270
42053,Kevil,KY,McCracken County,270
42054,Kirksey,KY,Calloway County,270
42055,Kuttawa,KY,Lyon County,270
42056,La Center,KY,Ballard County,270
42058,Ledbetter,KY,Livingston County,270
42060,Lovelaceville,KY,Ballard County,270
42061,Lowes,KY,Graves County,270
42063,Lynnville,KY,Graves County,270
42064,Marion,KY,Crittenden County,270
42066,Mayfield,KY,Graves County,270
42069,Melber,KY,Graves County,270
42070,Milburn,KY,Carlisle County,270
42071,Murray,KY,Calloway County,270
42076,New Concord,KY,Calloway County,270
42078,Salem,KY,Livingston County,270
42079,Sedalia,KY,Graves County,270
42081,Smithland,KY,Livingston County,270
42082,Symsonia,KY,Graves County,270
42083,Tiline,KY,Livingston County,270
42084,Tolu,KY,Crittenden County,270
42085,Water Valley,KY,Graves County,270
42086,West Paducah,KY,McCracken County,270
42087,Wickliffe,KY,Ballard County,270
42088,Wingo,KY,Graves County,270
42101,Bowling Green,KY,Warren County,270
42102,Bowling Green,KY,Warren County,270
42103,Bowling Green,KY,Warren County,270
42104,Bowling Green,KY,Warren County,270
42120,Adolphus,KY,Allen County,270
42122,Alvaton,KY,Warren County,270
42123,Austin,KY,Barren County,270
42124,Beaumont,KY,Metcalfe County,270
42127,Cave City,KY,Barren County,270
42128,Drake,KY,Warren County,270
42129,Edmonton,KY,Metcalfe County,270
42130,Eighty Eight,KY,Barren County,270
42131,Etoile,KY,Barren County,270
42133,Fountain Run,KY,Monroe County,270
42134,Franklin,KY,Simpson County,270
42135,Franklin,KY,Simpson County,270
42140,Gamaliel,KY,Monroe County,270
42141,Glasgow,KY,Barren County,270
42142,Glasgow,KY,Barren County,270
42151,Hestand,KY,Monroe County,270
42152,Hiseville,KY,Barren County,270
42153,Holland,KY,Allen County,270
42154,Knob Lick,KY,Metcalfe County,270
42156,Lucas,KY,Barren County,270
42157,Mount Hermon,KY,Monroe County,270
42159,Oakland,KY,Warren County,270
42160,Park City,KY,Barren County,270
42163,Rocky Hill,KY,Edmonson County,270
42164,Scottsville,KY,Allen County,270
42166,Summer Shade,KY,Metcalfe County,270
42167,Tompkinsville,KY,Monroe County,270
42170,Woodburn,KY,Warren County,270
42171,Smiths Grove,KY,Warren County,270
42201,Aberdeen,KY,Butler County,270
42202,Adairville,KY,Logan County,270
42204,Allensville,KY,Todd County,270
42206,Auburn,KY,Logan County,270
42207,Bee Spring,KY,Edmonson County,270
42210,Brownsville,KY,Edmonson County,270
42211,Cadiz,KY,Trigg County,270
42214,Center,KY,Metcalfe County,270
42215,Cerulean,KY,Christian County,
42216,Clifty,KY,Todd County,270
42217,Crofton,KY,Christian County,270
42219,Dunbar,KY,Butler County,270
42220,Elkton,KY,Todd County,270
42221,Fairview,KY,Todd County,270
42223,Fort Campbell,KY,Christian County,931
42232,Gracey,KY,Christian County,270
42234,Guthrie,KY,Todd County,270
42236,Herndon,KY,Christian County,
42240,Hopkinsville,KY,Christian County,270
42241,Hopkinsville,KY,Christian County,270
42252,Jetson,KY,Butler County,270
42254,La Fayette,KY,Christian County,270
42256,Lewisburg,KY,Logan County,270
42259,Mammoth Cave,KY,Edmonson County,270
42261,Morgantown,KY,Butler County,270
42262,Oak Grove,KY,Christian County,270
42265,Olmstead,KY,Logan County,
42266,Pembroke,KY,Christian County,270
42273,Rochester,KY,Butler County,270
42274,Rockfield,KY,Warren County,270
42275,Roundhill,KY,Butler County,270
42276,Russellville,KY,Logan County,270
42280,Sharon Grove,KY,Todd County,270
42283,South Union,KY,Logan County,270
42285,Sweeden,KY,Edmonson County,270
42286,Trenton,KY,Todd County,270
42287,Welchs Creek,KY,Butler County,270
42288,Woodbury,KY,Butler County,270
42301,Owensboro,KY,Daviess County,270
42302,Owensboro,KY,Daviess County,270
42303,Owensboro,KY,Daviess County,270
42304,Owensboro,KY,Daviess County,270
42320,Beaver Dam,KY,Ohio County,270
42321,Beech Creek,KY,Muhlenberg County,270
42322,Beech Grove,KY,McLean County,270
42323,Beechmont,KY,Muhlenberg County,270
42324,Belton,KY,Muhlenberg County,270
42325,Bremen,KY,Muhlenberg County,270
42326,Browder,KY,Muhlenberg County,270
42327,Calhoun,KY,McLean County,270
42328,Centertown,KY,Ohio County,270
42330,Central City,KY,Muhlenberg County,270
42332,Cleaton,KY,Muhlenberg County,270
42333,Cromwell,KY,Ohio County,270
42334,Curdsville,KY,Henderson County,270
42337,Drakesboro,KY,Muhlenberg County,270
42338,Dundee,KY,Ohio County,270
42339,Dunmor,KY,Muhlenberg County,270
42343,Fordsville,KY,Ohio County,270
42344,Graham,KY,Muhlenberg County,270
42345,Greenville,KY,Muhlenberg County,270
42347,Hartford,KY,Ohio County,270
42348,Hawesville,KY,Hancock County,270
42349,Horse Branch,KY,Ohio County,270
42350,Island,KY,McLean County,270
42351,Lewisport,KY,Hancock County,270
42352,Livermore,KY,McLean County,270
42354,Mc Henry,KY,Ohio County,270
42355,Maceo,KY,Daviess County,270
42356,Maple Mount,KY,Daviess County,270
42361,Olaton,KY,Ohio County,270
42364,Pellville,KY,Hancock County,270
42366,Philpot,KY,Daviess County,270
42367,Powderly,KY,Muhlenberg County,270
42368,Reynolds Station,KY,Ohio County,270
42369,Rockport,KY,Ohio County,270
42370,Rosine,KY,Ohio County,270
42371,Rumsey,KY,McLean County,270
42372,Sacramento,KY,McLean County,270
42374,South Carrollton,KY,Muhlenberg County,270
42375,Stanley,KY,Daviess County,270
42376,Utica,KY,Daviess County,270
42377,West Louisville,KY,Daviess County,270
42378,Whitesville,KY,Daviess County,270
42402,Baskett,KY,Henderson County,270
42403,Blackford,KY,Webster County,270
42404,Clay,KY,Webster County,270
42406,Corydon,KY,Henderson County,270
42408,Dawson Springs,KY,Hopkins County,270
42409,Dixon,KY,Webster County,270
42410,Earlington,KY,Hopkins County,270
42411,Fredonia,KY,Caldwell County,270
42413,Hanson,KY,Hopkins County,270
42419,Henderson,KY,Henderson County,270
42420,Henderson,KY,Henderson County,270
42431,Madisonville,KY,Hopkins County,270
42436,Manitou,KY,Hopkins County,270
42437,Morganfield,KY,Union County,270
42440,Mortons Gap,KY,Hopkins County,270
42441,Nebo,KY,Hopkins County,270
42442,Nortonville,KY,Hopkins County,270
42444,Poole,KY,Webster County,270
42445,Princeton,KY,Caldwell County,270
42450,Providence,KY,Webster County,270
42451,Reed,KY,Henderson County,270
42452,Robards,KY,Henderson County,270
42453,Saint Charles,KY,Hopkins County,270
42455,Sebree,KY,Webster County,270
42456,Slaughters,KY,Webster County,270
42457,Smith Mills,KY,Henderson County,270
42458,Spottsville,KY,Henderson County,270
42459,Sturgis,KY,Union County,270
42460,Sullivan,KY,Union County,270
42461,Uniontown,KY,Union County,270
42462,Waverly,KY,Union County,270
42463,Wheatcroft,KY,Webster County,270
42464,White Plains,KY,Hopkins County,270
42501,Somerset,KY,Pulaski County,606
42502,Somerset,KY,Pulaski County,606
42503,Somerset,KY,Pulaski County,606
42516,Bethelridge,KY,Casey County,606
42518,Bronston,KY,Pulaski County,
42519,Burnside,KY,Pulaski County,606
42528,Dunnville,KY,Casey County,606
42533,Ferguson,KY,Pulaski County,606
42539,Liberty,KY,Casey County,606
42541,Middleburg,KY,Casey County,
42544,Nancy,KY,Pulaski County,606
42553,Science Hill,KY,Pulaski County,606
42558,Tateville,KY,Pulaski County,606
42564,West Somerset,KY,Pulaski County,606
42565,Windsor,KY,Casey County,
42566,Yosemite,KY,Casey County,606
42567,Eubank,KY,Pulaski County,606
42602,Albany,KY,Clinton County,606
42603,Alpha,KY,Clinton County,
42629,Jamestown,KY,Russell County,270
42631,Marshes Siding,KY,McCreary County,606
42633,Monticello,KY,Wayne County,606
42634,Parkers Lake,KY,McCreary County,606
42635,Pine Knot,KY,McCreary County,606
42638,Revelo,KY,McCreary County,606
42642,Russell Springs,KY,Russell County,270
42647,Stearns,KY,McCreary County,606
42649,Strunk,KY,McCreary County,606
42653,Whitley City,KY,McCreary County,606
42701,Elizabethtown,KY,Hardin County,270
42702,Elizabethtown,KY,Hardin County,270
42712,Big Clifty,KY,Grayson County,270
42713,Bonnieville,KY,Hart County,270
42715,Breeding,KY,Adair County,270
42716,Buffalo,KY,Larue County,270
42717,Burkesville,KY,Cumberland County,270
42718,Campbellsville,KY,Taylor County,270
42719,Campbellsville,KY,Taylor County,270
42720,Cane Valley,KY,Adair County,270
42721,Caneyville,KY,Grayson County,270
42722,Canmer,KY,Hart County,270
42724,Cecilia,KY,Hardin County,270
42726,Clarkson,KY,Grayson County,270
42728,Columbia,KY,Adair County,270
42729,Cub Run,KY,Hart County,270
42731,Dubre,KY,Cumberland County,
42732,Eastview,KY,Hardin County,
42733,Elk Horn,KY,Taylor County,270
42740,Glendale,KY,Hardin County,270
42741,Glens Fork,KY,Adair County,270
42742,Gradyville,KY,Adair County,270
42743,Greensburg,KY,Green County,270
42746,Hardyville,KY,Hart County,270
42748,Hodgenville,KY,Larue County,270
42749,Horse Cave,KY,Hart County,270
42753,Knifley,KY,Adair County,270
42754,Leitchfield,KY,Grayson County,270
42755,Leitchfield,KY,Grayson County,270
42757,Magnolia,KY,Hart County,270
42758,Mannsville,KY,Taylor County,270
42759,Marrowbone,KY,Cumberland County,270
42762,Millwood,KY,Grayson County,270
42764,Mount Sherman,KY,Green County,
42765,Munfordville,KY,Hart County,270
42776,Sonora,KY,Hardin County,270
42782,Summersville,KY,Green County,270
42784,Upton,KY,Hardin County,270
42788,White Mills,KY,Hardin County,
