zip,primary_city,state,county,area_codes
40313,Clearfield,KY,Rowan County,606
40316,Denniston,KY,Menifee County,606
40317,Elliottville,KY,Rowan County,606
40319,Farmers,KY,Rowan County,606
40322,Frenchburg,KY,Menifee County,606
40324,Georgetown,KY,Scott County,502
40328,Gravel Switch,KY,Marion County,
40330,Harrodsburg,KY,Mercer County,859
40334,Hope,KY,Montgomery County,606
40336,Irvine,KY,Estill County,606
40337,Jeffersonville,KY,Montgomery County,859
40339,Keene,KY,Jessamine County,859
40340,Nicholasville,KY,Jessamine County,859
40342,Lawrenceburg,KY,Anderson County,502
40346,Means,KY,Menifee County,606
40347,Midway,KY,Woodford County,502859
40348,Millersburg,KY,Bourbon County,859
40350,Moorefield,KY,Nicholas County,859606
40351,Morehead,KY,Rowan County,606
40353,Mount Sterling,KY,Montgomery County,606859
40355,New Liberty,KY,Owen County,502
40356,Nicholasville,KY,Jessamine County,859
40357,North Middletown,KY,Bourbon County,859
40358,Olympia,KY,Bath County,
40359,Owenton,KY,Owen County,502
40360,Owingsville,KY,Bath County,606
40361,Paris,KY,Bourbon County,859
40362,Paris,KY,Bourbon County,859
40363,Perry Park,KY,Owen County,
40366,Preston,KY,Bath County,
40370,Sadieville,KY,Scott County,502
40371,Salt Lick,KY,Bath County,606859
40372,Salvisa,KY,Mercer County,859
40374,Sharpsburg,KY,Bath County,606859
40376,Slade,KY,Powell County,606
40379,Stamping Ground,KY,Scott County,502
40380,Stanton,KY,Powell County,606
40383,Versailles,KY,Woodford County,859
40384,Versailles,KY,Woodford County,859
40385,Waco,KY,Madison County,606859
40386,Versailles,KY,Woodford County,859
40387,Wellington,KY,Menifee County,606
40390,Wilmore,KY,Jessamine County,859
40391,Winchester,KY,Clark County,859
40392,Winchester,KY,Clark County,859
40402,Annville,KY,Jackson County,606
40403,Berea,KY,Madison County,859
40404,Berea,KY,Madison County,859
40405,Bighill,KY,Jackson County,859
40409,Brodhead,KY,Rockcastle County,606
40410,Bryantsville,KY,Garrard County,859
40419,Crab Orchard,KY,Lincoln County,606
40422,Danville,KY,Boyle County,606859
40423,Danville,KY,Boyle County,859
40434,Gray Hawk,KY,Jackson County,606
40437,Hustonville,KY,Lincoln County,606
40440,Junction City,KY,Boyle County,859
40442,Kings Mountain,KY,Lincoln County,
40444,Lancaster,KY,Garrard County,859
40445,Livingston,KY,Rockcastle County,606
40446,Lancaster,KY,Garrard County,859
40447,Mc Kee,KY,Jackson County,606
40448,Mc Kinney,KY,Lincoln County,606
40452,Mitchellsburg,KY,Boyle County,859
40456,Mount Vernon,KY,Rockcastle County,606
40460,Orlando,KY,Rockcastle County,606
40461,Paint Lick,KY,Madison County,606859
40464,Parksville,KY,Boyle County,859
40468,Perryville,KY,Boyle County,859
40472,Ravenna,KY,Estill County,606
40473,Renfro Valley,KY,Rockcastle County,606
40475,Richmond,KY,Madison County,859
40476,Richmond,KY,Madison County,859
40481,Sandgap,KY,Jackson County,606
40484,Stanford,KY,Lincoln County,606
40486,Tyner,KY,Jackson County,606
40488,Waneta,KY,Jackson County,606
40489,Waynesburg,KY,Lincoln County,
40492,Wildie,KY,Rockcastle County,606
40495,Winston,KY,Estill County,606
40502,Lexington,KY,Fayette County,859
40503,Lexington,KY,Fayette County,859
40504,Lexington,KY,Fayette County,859
40505,Lexington,KY,Fayette County,859
40506,Lexington,KY,Fayette County,859
40507,Lexington,KY,Fayette County,859
40508,Lexington,KY,Fayette County,859
40509,Lexington,KY,Fayette County,859
40510,Lexington,KY,Fayette County,859
40511,Lexington,KY,Fayette County,502
40512,Lexington,KY,Fayette County,859
40513,Lexington,KY,Fayette County,859
40514,Lexington,KY,Fayette County,859
40515,Lexington,KY,Fayette County,859
40516,Lexington,KY,Fayette County,859
40517,Lexington,KY,Fayette County,859
40522,Lexington,KY,Fayette County,859
40523,Lexington,KY,Fayette County,859
40524,Lexington,KY,Fayette County,859
40526,Lexington,KY,Fayette County,859
40533,Lexington,KY,Fayette County,859
40536,Lexington,KY,Fayette County,859
40544,Lexington,KY,Fayette County,859
40546,Lexington,KY,Fayette County,859
40550,Lexington,KY,Fayette County,859
40555,Lexington,KY,Fayette County,859
40574,Lexington,KY,Fayette County,859
40575,Lexington,KY,Fayette County,859
40576,Lexington,KY,Fayette County,859
40577,Lexington,KY,Fayette County,859
40578,Lexington,KY,Fayette County,859
40579,Lexington,KY,Fayette County,859
40580,Lexington,KY,Fayette County,859
40581,Lexington,KY,Fayette County,859
40582,Lexington,KY,Fayette County,859
40583,Lexington,KY,Fayette County,859
40588,Lexington,KY,Fayette County,859
40591,Lexington,KY,Fayette County,859
40598,Lexington,KY,Fayette County,859
40601,Frankfort,KY,Franklin County,502
40602,Frankfort,KY,Franklin County,502
40603,Frankfort,KY,Franklin County,502
40604,Frankfort,KY,Franklin County,502
40618,Frankfort,KY,Franklin County,502
40619,Frankfort,KY,Franklin County,502
40620,Frankfort,KY,Franklin County,502
40621,Frankfort,KY,Franklin County,502
40622,Frankfort,KY,Franklin County,502
40701,Corbin,KY,Whitley County,606
40702,Corbin,KY,Whitley County,606
40724,Bush,KY,Laurel County,606
40729,East Bernstadt,KY,Laurel County,606
40730,Emlyn,KY,Whitley County,606
40734,Gray,KY,Knox County,606
40737,Keavy,KY,Laurel County,606
40740,Lily,KY,Laurel County,606
40741,London,KY,Laurel County,606
40742,London,KY,Laurel County,606
40743,London,KY,Laurel County,606
40744,London,KY,Laurel County,606
40745,London,KY,Laurel County,606
40750,London,KY,,
40754,Nevisdale,KY,Whitley County,606
40755,Pittsburg,KY,Laurel County,606
40759,Rockholds,KY,Whitley County,606
40763,Siler,KY,Whitley County,606
40769,Williamsburg,KY,Whitley County,606
40771,Woodbine,KY,Knox County,606
40801,Ages Brookside,KY,Harlan County,606
40803,Asher,KY,Leslie County,606
40806,Baxter,KY,Harlan County,606
40807,Benham,KY,Harlan County,606
40808,Big Laurel,KY,Harlan County,606
40810,Bledsoe,KY,Harlan County,606
40813,Calvin,KY,Bell County,606
40815,Cawood,KY,Harlan County,606
40816,Chappell,KY,Leslie County,606
40818,Coalgood,KY,Harlan County,606
40819,Coldiron,KY,Harlan County,606
40820,Cranks,KY,Harlan County,606
40823,Cumberland,KY,Harlan County,606
40824,Dayhoit,KY,Harlan County,606
40826,Eolia,KY,Letcher County,606
40827,Essie,KY,Leslie County,606
40828,Evarts,KY,Harlan County,606
40829,Grays Knob,KY,Harlan County,606
40830,Gulston,KY,Harlan County,606
40831,Harlan,KY,Harlan County,606
40840,Helton,KY,Leslie County,606
40843,Holmes Mill,KY,Harlan County,606
40844,Hoskinston,KY,Leslie County,606
40845,Hulen,KY,Bell County,606
40847,Kenvir,KY,Harlan County,606
40849,Lejunior,KY,Harlan County,606
40854,Loyall,KY,Harlan County,606
40855,Lynch,KY,Harlan County,606
40856,Miracle,KY,Bell County,606
40858,Mozelle,KY,Leslie County,606
40862,Partridge,KY,Letcher County,606
40863,Pathfork,KY,Harlan County,606
40865,Putney,KY,Harlan County,606
40868,Stinnett,KY,Leslie County,606
40870,Totz,KY,Harlan County,606
40873,Wallins Creek,KY,Harlan County,606
40874,Warbranch,KY,Leslie County,606
40902,Arjay,KY,Bell County,606
40903,Artemus,KY,Knox County,606
40906,Barbourville,KY,Knox County,606
40913,Beverly,KY,Clay County,606
40914,Big Creek,KY,Clay County,606
40915,Bimble,KY,Knox County,606
40921,Bryants Store,KY,Knox County,606
40923,Cannon,KY,Knox County,606
40927,Closplint,KY,Harlan County,606
40930,Dewitt,KY,Knox County,606
40931,Eriline,KY,Clay County,606
